"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1283783","167516","1278","0.012","0","39","","","","",""
"1283784","167516","1280","0","0","39","","","","",""
"1283785","167516","1300","0.01","2","1","0.01","0.011","","",""
"1283786","167516","1323","0","2","1","0","0","","",""
"1283787","167516","1333","0","2","1","0","0","","",""
"1283788","167516","1218","0.154","0","39","","","","",""
"1283789","167516","1222","0.249","0","39","","","","",""
"1283790","167516","1224","1.614","0","39","","","","",""
"1283791","167516","1225","0.214","0","39","","","","",""
"1283792","167516","1226","0.559","0","39","","","","",""
"1283793","167516","1246","2.7","0","39","","","","",""
"1283794","167516","1253","15","2","1","7","24","","",""
"1283795","167516","1299","0","2","1","0","0","","",""
"1283796","167516","1313","0","2","1","0","0","","",""
"1283797","167516","1321","0","2","1","0","0","","",""
"1283798","167516","1325","0","2","1","0","0","","",""
"1283799","167516","1219","0.326","0","39","","","","",""
"1283800","167516","1220","0.282","0","39","","","","",""
"1283801","167516","1221","0.143","0","39","","","","",""
"1283802","167516","1223","0.406","0","39","","","","",""
"1283803","167516","1227","0.347","0","39","","","","",""
"1283804","167516","1242","0","0","39","","","","",""
"1283805","167516","1259","0.005","0","39","","","","",""
"1283806","167516","1260","0.003","0","39","","","","",""
"1283807","167516","1262","0","2","1","0","0","","",""
"1283808","167516","1265","1.025","2","1","0.933","1.117","","",""
"1283809","167516","1266","0.772","2","1","0.763","0.781","","",""
"1283810","167516","1267","0.031","2","1","0.031","0.032","","",""
"1283811","167516","1268","4.469","2","1","3.75","5.188","","",""
"1283812","167516","1269","1.414","2","1","1.145","1.684","","",""
"1283813","167516","1270","0","0","","","","","",""
"1283814","167516","1271","0.009","2","1","0.007","0.011","","",""
"1283815","167516","1276","0.002","0","39","","","","",""
"1283816","167516","1277","0.039","2","1","0.038","0.041","","",""
"1283817","167516","1279","0","0","39","","","","",""
"1283818","167516","1292","4.53","0","49","","","","",""
"1283819","167516","1008","273","0","49","","","","",""
"1283820","167516","1010","2.67","2","1","2.38","2.95","","",""
"1283821","167516","1011","0","2","1","0","0","","",""
"1283822","167516","1014","0.29","2","1","0.27","0.3","","",""
"1283823","167516","1051","40.34","2","1","40.23","40.45","","",""
"1283824","167516","1057","0","0","39","","","","",""
"1283825","167516","1058","0","0","39","","","","",""
"1283826","167516","2000","4.3","2","1","3.36","5.24","","",""
"1283827","167516","1087","279","2","1","116","441","","",""
"1283828","167516","1092","126","2","1","109","142","","",""
"1283829","167516","1095","0.48","2","1","0.43","0.53","","",""
"1283830","167516","1103","9.5","2","1","9","10.1","","",""
"1283831","167516","1109","0.62","2","1","0.56","0.67","","",""
"1283832","167516","1123","63","0","39","","","","",""
"1283833","167516","1125","0.07","2","1","0.07","0.08","","",""
"1283834","167516","1126","4.03","2","1","3.64","4.42","","",""
"1283835","167516","1128","0.03","2","1","0.02","0.05","","",""
"1283836","167516","1129","0","2","1","0","0","","",""
"1283837","167516","1167","6.675","2","1","5.87","7.48","","",""
"1283838","167516","1170","0.24","2","1","0.22","0.26","","",""
"1283839","167516","1175","0.972","2","1","0.864","1.08","","",""
"1283840","167516","1186","49","2","1","43","54","","",""
"1283841","167516","1004","9.22","2","1","8.71","9.73","","",""
"1283842","167516","1005","41.05","0","49","","","","",""
"1283843","167516","1212","0.281","0","39","","","","",""
"1283844","167516","1213","0.489","0","39","","","","",""
"1283845","167516","1214","0.296","0","39","","","","",""
"1283846","167516","1216","0.154","0","39","","","","",""
"1283847","167517","1110","0","0","68","","","","",""
"1283848","167517","1178","1.62","3","1","0.95","2.94","","",""
"1283849","167517","1180","28.1","0","51","","","","",""
"1283850","167517","1190","107","0","49","","","","",""
"1283851","167517","1187","13","0","","","","","",""
"1283852","167517","1292","5.292","0","49","","","","",""
"1283853","167517","1093","710","6","1","589","824","","",""
"1283854","167517","1106","438","0","49","","","","",""
"1283855","167517","1127","1.51","3","1","1.33","1.68","","",""
"1283856","167517","1130","0","3","1","0","0","","",""
